timestamp,order_id,symbol,side,quantity,price,status,reason
1763605705.627549,1763605705.6275048,AAPL,BUY,10,273.2099914550781,FILLED,
1763605705.627697,1763605705.62767,AAPL,SELL,10,273.3699951171875,FILLED,
1763605705.6279302,1763605705.627916,AAPL,BUY,10,272.30499267578125,FAILED,Simulated execution failure (2% chance)
1763605705.6282501,1763605705.628227,AAPL,SELL,10,274.3599853515625,FILLED,
1763605705.628314,1763605705.6283011,AAPL,BUY,10,275.1199951171875,REJECTED,Canceled/No liquidity.
1763605705.628551,1763605705.628534,AAPL,SELL,10,275.20001220703125,FILLED,
1763605705.62865,1763605705.62863,AAPL,BUY,10,275.6700134277344,FILLED,
1763605705.628704,1763605705.628685,AAPL,SELL,10,274.3299865722656,FILLED,
1763605705.628858,1763605705.628841,AAPL,BUY,10,273.44989013671875,FILLED,
1763605705.629149,1763605705.629133,AAPL,SELL,10,274.19000244140625,FILLED,
1763605705.6292648,1763605705.629249,AAPL,BUY,10,274.55999755859375,FILLED,
1763605705.629579,1763605705.629558,AAPL,SELL,10,274.82000732421875,FILLED,
1763605705.6298509,1763605705.629834,AAPL,BUY,10,274.3005065917969,FILLED,
1763605705.6299021,1763605705.629886,AAPL,SELL,10,273.3999938964844,FILLED,
1763605705.629945,1763605705.629929,AAPL,BUY,10,274.2699890136719,FILLED,
1763605705.630099,1763605705.630084,AAPL,SELL,10,274.260009765625,FILLED,
1763605705.630296,1763605705.6302788,AAPL,BUY,10,273.5899963378906,FILLED,
1763605705.630423,1763605705.630411,AAPL,SELL,10,273.55999755859375,REJECTED,Canceled/No liquidity.
1763605705.63065,1763605705.630634,AAPL,BUY,10,273.17498779296875,FILLED,
1763605705.6307452,1763605705.630729,AAPL,SELL,10,272.45001220703125,FILLED,
1763605705.630813,1763605705.6307971,AAPL,BUY,10,273.75,FILLED,
1763605705.63097,1763605705.630953,AAPL,SELL,10,273.0,FILLED,
1763605705.6311061,1763605705.63109,AAPL,BUY,10,273.05999755859375,FILLED,
1763605705.631218,1763605705.631202,AAPL,SELL,10,270.95001220703125,FILLED,
1763605705.631329,1763605705.6313138,AAPL,BUY,10,272.4718017578125,FILLED,
1763605705.631532,1763605705.631516,AAPL,SELL,10,273.93780517578125,FILLED,
1763605705.63159,1763605705.631574,AAPL,BUY,10,274.6499938964844,FILLED,
1763605705.6316679,1763605705.631653,AAPL,SELL,10,274.1400146484375,FILLED,
1763605705.631711,1763605705.631696,AAPL,BUY,10,274.54998779296875,FILLED,
1763605705.6318872,1763605705.631871,AAPL,SELL,10,275.19000244140625,FILLED,
1763605705.632498,1763605705.632483,AAPL,BUY,10,269.7200012207031,FILLED,
1763605705.632556,1763605705.63254,AAPL,SELL,10,269.3599853515625,FILLED,
1763605705.632768,1763605705.632753,AAPL,BUY,10,268.7200012207031,FILLED,
1763605705.6329138,1763605705.632898,AAPL,SELL,10,268.95001220703125,FILLED,
1763605705.633131,1763605705.633116,AAPL,BUY,10,268.3399963378906,FILLED,
1763605705.633185,1763605705.633169,AAPL,SELL,10,267.3299865722656,FILLED,
1763605705.633439,1763605705.633423,AAPL,BUY,10,266.7298889160156,FILLED,
1763605705.6336079,1763605705.6335921,AAPL,SELL,10,267.2398986816406,FILLED,
1763605705.633721,1763605705.633705,AAPL,BUY,10,268.1199951171875,FILLED,
1763605705.6338189,1763605705.633803,AAPL,SELL,10,266.7099914550781,FILLED,
1763605705.633912,1763605705.6338959,AAPL,BUY,10,267.75,FILLED,
1763605705.634072,1763605705.6340559,AAPL,SELL,10,267.6199951171875,FILLED,
1763605705.634184,1763605705.6341681,AAPL,BUY,10,268.3900146484375,FILLED,
1763605705.634402,1763605705.63439,AAPL,SELL,10,268.4800109863281,FAILED,Simulated execution failure (2% chance)
1763605705.6345448,1763605705.634529,AAPL,BUY,10,268.3999938964844,FILLED,
1763605705.634645,1763605705.634629,AAPL,SELL,10,268.4858093261719,FILLED,
1763605705.6348171,1763605705.6348002,AAPL,BUY,10,269.5,FILLED,
1763605705.635,1763605705.634985,AAPL,SELL,10,271.17498779296875,FILLED,
1763605705.6351712,1763605705.635155,AAPL,BUY,10,270.2200012207031,FILLED,
1763605705.635283,1763605705.6352682,AAPL,SELL,10,270.07000732421875,FILLED,
1763605705.635363,1763605705.6353521,AAPL,BUY,10,270.3900146484375,REJECTED,Rate limit exceeded.
1763605705.635503,1763605705.635492,AAPL,SELL,10,270.239990234375,REJECTED,Rate limit exceeded.
1763605705.635607,1763605705.635596,AAPL,BUY,10,270.8500061035156,REJECTED,Rate limit exceeded.
1763605705.6357162,1763605705.635705,AAPL,SELL,10,270.31988525390625,REJECTED,Rate limit exceeded.
1763605705.635861,1763605705.63585,AAPL,BUY,10,269.9646911621094,REJECTED,Rate limit exceeded.
1763605705.635972,1763605705.635961,AAPL,SELL,10,269.8299865722656,REJECTED,Rate limit exceeded.
